Taxa,Longitud,Latitud
Zea mays subsp. mexicana raza Chalco,-98.49083333,19.08666667
Zea mays subsp. mexicana raza Chalco,-97.52111111,19.06722222
Zea mays subsp. mexicana raza Chalco,-97.55166667,19.0975
Zea mays subsp. mexicana raza Chalco,-97.61055556,19.11527778
Zea mays subsp. mexicana raza Chalco,-97.58,19.18166667
Zea mays subsp. mexicana raza Chalco,-97.55722222,19.17138889
Zea mays subsp. mexicana raza Chalco,-97.44166667,19.12638889
Zea mays subsp. mexicana raza Chalco,-97.39055556,19.19027778
Zea mays subsp. mexicana raza Chalco,-97.43055556,19.07361111
Zea mays subsp. mexicana raza Chalco,-97.46444444,19.01194444
Zea mays subsp. mexicana raza Chalco,-98.18555556,19.16
Zea mays subsp. mexicana raza Chalco,-98.86861111,19.2175
Zea mays subsp. mexicana raza Chalco,-98.87166667,19.1875
Zea mays subsp. mexicana raza Chalco,-98.84527778,19.07944444
Zea mays subsp. mexicana raza Chalco,-98.77638889,19.08166667
Zea mays subsp. mexicana raza Chalco,-98.75694444,19.1125
Zea mays subsp. mexicana raza Chalco,-98.77472222,19.155
Zea mays subsp. mexicana raza Chalco,-98.83416667,19.2325
Zea mays subsp. mexicana raza Chalco,-98.92083333,19.49472222
Zea mays subsp. mexicana raza Chalco,-98.91916667,19.50388889
Zea mays subsp. parviglumis raza Balsas,-99.3025,18.28666667
Zea mays subsp. parviglumis raza Balsas,-99.23361111,18.2525
Zea mays subsp. parviglumis raza Balsas,-99.21333333,18.23194444
Zea mays subsp. parviglumis raza Balsas,-99.2125,18.26
Zea mays subsp. parviglumis raza Balsas,-98.77444444,17.76027778
Zea mays subsp. parviglumis raza Balsas,-98.76444444,17.77361111
Zea mays subsp. parviglumis raza Balsas,-99.20972222,17.45388889
Zea mays subsp. parviglumis raza Balsas,-99.20138889,17.43777778
Zea mays subsp. parviglumis raza Balsas,-99.17666667,17.40861111
Zea mays subsp. parviglumis raza Balsas,-99.39388889,17.48416667
Zea mays subsp. parviglumis raza Balsas,-99.54222222,17.17166667
Zea mays subsp. parviglumis raza Balsas,-99.48305556,17.28694444
Zea mays subsp. parviglumis raza Balsas,-99.45722222,17.37555556
Zea mays subsp. parviglumis raza Balsas,-99.45305556,17.38944444
Zea mays subsp. parviglumis raza Balsas,-99.43666667,17.39666667
Zea mays subsp. parviglumis raza Balsas,-99.44305556,17.40694444
Zea mays subsp. parviglumis raza Balsas,-100.1416667,18.38361111
